Historia del Rey Transparente;Rosa Montero;Santillana;null;null;null;null;1999-12-31;
El Fuego;Katherine Neville;Plaza y Janes;null;null;null;null;2009-9-2;
Rendición;Connie Brockway;Bolsillo;null;null;null;null;2009-9-2;
La Maquina de Ajedrez;Robert Löhr;Bolsillo;null;null;null;null;2009-9-2;
Cuentos desde el Reino del Peligroso;J.R.R. Tolkien;Minotauro;null;null;null;null;2009-9-3;
La joya de Medina;Sherry Jones;Ediciones B;null;null;null;null;2009-9-3;
Camposanto;Iker Jiménez;Suma;null;null;null;null;1999-12-31;
¿Dónde te Escondes?;Mary Higgins Clark;Plaza y Janes;null;null;null;null;1999-12-31;
El Mundo según Garp;Jonh Irving;Circulo Lectores;null;null;null;null;1999-12-31;
La Elegancia del erizo;Muriel Barbery;Circulo Lectores;null;null;null;null;1999-12-31;
Motín en la Bounty;John Boyne;Salamandra;null;null;null;null;2009-11-5;
La Novia de Matisse;Manuel Vicent;Circulo Lectores;null;null;null;null;2009-1-6;
La Reina en el Palacio de las Corrientes;Stieg Larson;Mileniun3;null;null;null;null;1999-12-31;
Perlas para un Collar;Toti Martínez de Leza;Suma;null;null;null;null;1999-12-31;
La Mano de Fátima;Ildefonso Falcones;Grijalbo;null;null;null;null;1999-12-31;
Tres Metros sobre el Cielo;Federico Moccia;Debolsillo;null;null;null;null;1999-12-31;
Algo tan Parecido al Amor;Carmen Amoraga;Booket;null;null;null;null;1999-12-31;
El Apóstol Nº 13;Michel Benoit;Debolsillo;null;null;null;null;1999-12-31;
Cometas en el Cielo;Khaled Hosseini;Letra de Bolsillo;null;null;null;null;1999-12-31;
La doctora Cole;Noah Gordon;Rocabolsillo;null;null;null;null;1999-12-31;
